PubmedID,Title,Publication Date,Authors,Company Affiliations,Corresponding Author Email
40183198,Growth Charts for Children With Beckwith-Wiedemann Spectrum.,2025 Apr 4,"[{'name': 'Maas SM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Lauffer P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Cocchi G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'DeMarchis M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'George AM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mussa A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pellegrino F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Spaans AMJ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'van den Brink EC', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wit JM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Menke LA', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kalish JM', 'authtype': 'Author', 'clusterid': ''}]",Am J Med Genet A,Unknown
40183179,Clinical outcomes of BCG infections in patients undergoing intravesical immunotherapy for non-muscle-invasive bladder cancer: a systematic review and meta-analysis.,2025 Feb,"[{'name': 'Artiles Medina A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Subiela JD', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tagalos Muñoz A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tato Díez M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mínguez Ojeda C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'López Curtis D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sánchez González Á', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Brasero Burgos J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Serna-Céspedes A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gómez Dos Santos V', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Jiménez Cidre MÁ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Burgos Revilla FJ', 'authtype': 'Author', 'clusterid': ''}]",Minerva Urol Nephrol,Unknown
40183176,Strategic approaches to assess and quantify the oxidative stress biomarkers in complex biological systems.,2025 Apr 4,"[{'name': 'Aravapally PSN', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Chandrasekar N', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Verma A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Shah RP', 'authtype': 'Author', 'clusterid': ''}]",Bioanalysis,Unknown
40183167,"Which Prognostic Models Best Predict Clinical Disease Progression, Worsening, and Activity in People with Multiple Sclerosis? A Cochrane Review Summary with Commentary.",2025 Feb,"[{'name': 'Amatya B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Khan F', 'authtype': 'Author', 'clusterid': ''}]",NeuroRehabilitation,Unknown
40183150,"Knowledge, attitudes and practices of women regarding breast and cervical cancer screening: a qualitative study in India.",2025 Dec,"[{'name': 'Srinath A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pavlova M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Chandar S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Vasudeva Rao S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'van Merode F', 'authtype': 'Author', 'clusterid': ''}]",Glob Public Health,Unknown
40183139,Identifying Concepts of Physical Activity Which Are Clinically Meaningful to Patients and Care Providers: A Systematic Review of Qualitative Research.,2025 Apr,"[{'name': 'Taguibao C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ajraoui S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Centra J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Reid KF', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Daskalopoulou C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Freniche AC', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Hamilton AL', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Horstman AMH', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Collins BX', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Dunn J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Izmailova ES', 'authtype': 'Author', 'clusterid': ''}]",Clin Transl Sci,Unknown
40183103,MEPED as salvage therapy for relapsed/refractory Hodgkin's lymphoma incorporating edited non-oncogene addiction: mTOR as a bottleneck.,2025,"[{'name': 'Harrer DC', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Lüke F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pukrop T', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ghibelli L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Reichle A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Heudobler D', 'authtype': 'Author', 'clusterid': ''}]",Front Pharmacol,Unknown
40183093,"A novel ubiquitin-related genes-based signature demonstrated values in prognostic prediction, immune landscape sculpture and therapeutic options in laryngeal cancer.",2025,"[{'name': 'Liu L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wang B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ma X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tan L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wei X', 'authtype': 'Author', 'clusterid': ''}]",Front Pharmacol,Unknown
40183090,Effects of Chinese herbal medicine on colorectal adenoma recurrence following polypectomy: a systematic review and meta-analysis.,2025,"[{'name': 'Cheng Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Di YM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'May B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhang AL', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Xue CC', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zhang B', 'authtype': 'Author', 'clusterid': ''}]",Front Pharmacol,Unknown
40183088,Adverse kidney related events following targeted therapies in lung cancer: a systematic review and network meta-analysis of randomized controlled trials.,2025,"[{'name': 'Ren S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wang W', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yao X', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Fang W', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Li G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Feng Y', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Xia M', 'authtype': 'Author', 'clusterid': ''}]",Front Pharmacol,Unknown
