PubmedID,Title,Publication Date,Authors,Company Affiliations,Corresponding Author Email
40183186,A novel rat model for studying bilateral cavernous nerve damage in vivo: exploring the potential of chitosan-blended membranes for nerve regeneration post-radical prostatectomy.,2025 Feb,"[{'name': 'Fregnan F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Muratori L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Crosio A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Zen F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Fiori C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tonazzini I', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gambarotta G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Martinelli A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Meziere J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Raimondo S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Manfredi M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Scaccini L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Geuna S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Porpiglia F', 'authtype': 'Author', 'clusterid': ''}]",Minerva Urol Nephrol,Unknown
40183184,Robot-assisted video-endoscopic inguinal lymphadenectomy with the Hugo™ RAS System: surgical set-up and initial experience.,2025 Feb,"[{'name': 'Gaya JM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Berquin C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Basile G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Pecoraro A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gallioli A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sanz Gomez I', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Izquierdo P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Territo A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gavrilov P', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Palou J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Rosales A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Breda A', 'authtype': 'Author', 'clusterid': ''}]",Minerva Urol Nephrol,Unknown
40183183,A pretreatment nomogram to predict muscle-invasiveness in high-risk upper tract urothelial carcinoma (ROBUUST 2.0 collaborative group).,2025 Feb,"[{'name': 'Ditonno F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Franco A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bologna E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Veccia A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bertolo R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wang L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Abdollah F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Finati M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Simone G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tuderti G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Helstrom E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Correa A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'De Cobelli O', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ferro M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Porpiglia F', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Amparore D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Checcucci E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tufano A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Perdonà S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bhanvadia R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Margulis V', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Broenimann S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Singla N', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Puri D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Derweesh IH', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mendiola DF', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gonzalgo ML', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ben-David R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mehrazin R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Moon SC', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Rais-Bahrami S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Yong C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sundaram CP', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Moghaddam FS', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Ghoreifi A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Djaladat H', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Autorino R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Wu Z', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Antonelli A', 'authtype': 'Author', 'clusterid': ''}]",Minerva Urol Nephrol,Unknown
40183181,Current applications and future perspectives of artificial intelligence in functional urology and neurourology: how far can we get?,2025 Feb,"[{'name': 'Gallo ML', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Moriconi M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Phé V', 'authtype': 'Author', 'clusterid': ''}]",Minerva Urol Nephrol,Unknown
40183180,A systematic review and meta-analysis of the impact of preoperative surgical planning in robotic-assisted radical prostatectomy on trifecta outcomes.,2025 Feb,"[{'name': 'Day E', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tzelves L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Dickinson L', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Shaw G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tandogdu Z', 'authtype': 'Author', 'clusterid': ''}]",Minerva Urol Nephrol,Unknown
40183179,Clinical outcomes of BCG infections in patients undergoing intravesical immunotherapy for non-muscle-invasive bladder cancer: a systematic review and meta-analysis.,2025 Feb,"[{'name': 'Artiles Medina A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Subiela JD', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tagalos Muñoz A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Tato Díez M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Mínguez Ojeda C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'López Curtis D', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sánchez González Á', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Brasero Burgos J', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Serna-Céspedes A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Gómez Dos Santos V', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Jiménez Cidre MÁ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Burgos Revilla FJ', 'authtype': 'Author', 'clusterid': ''}]",Minerva Urol Nephrol,Unknown
40183176,Strategic approaches to assess and quantify the oxidative stress biomarkers in complex biological systems.,2025 Apr 4,"[{'name': 'Aravapally PSN', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Chandrasekar N', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Verma A', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Shah RP', 'authtype': 'Author', 'clusterid': ''}]",Bioanalysis,Unknown
40183175,Orbital and ocular adnexal histiocytic tumors; a multidisciplinary literature review.,2025 Apr 4,"[{'name': 'Malakooti Shijani SM', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Kashkouli MB', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bezerra Gondim MJ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Timoney PJ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Masters AH', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Sarai G', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Compton CJ', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Clark JD', 'authtype': 'Author', 'clusterid': ''}]",Orbit,Unknown
40183172,B/N-doped carbon nano-onions as nanocarriers for targeted breast cancer therapy.,2025 Apr 4,"[{'name': 'Mohan H', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Salaroglio IC', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Bartkowski M', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Courtney K', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Andreana I', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Limongi T', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Arenal R', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Riganti C', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Arpicco S', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Giordani S', 'authtype': 'Author', 'clusterid': ''}]",Nanoscale,Unknown
40183167,"Which Prognostic Models Best Predict Clinical Disease Progression, Worsening, and Activity in People with Multiple Sclerosis? A Cochrane Review Summary with Commentary.",2025 Feb,"[{'name': 'Amatya B', 'authtype': 'Author', 'clusterid': ''}, {'name': 'Khan F', 'authtype': 'Author', 'clusterid': ''}]",NeuroRehabilitation,Unknown
